datumtijd,Inkoop prijs per kWh
2013-01-01 1:00:00,"0,0326"
2013-01-01 2:00:00,"0,0316"
2013-01-01 3:00:00,"0,0306"
2013-01-01 4:00:00,"0,0293"
2013-01-01 5:00:00,"0,0269"
2013-01-01 6:00:00,"0,0271"
2013-01-01 7:00:00,"0,0292"
2013-01-01 8:00:00,"0,0283"
2013-01-01 9:00:00,"0,0321"
2013-01-01 10:00:00,"0,0323"
2013-01-01 11:00:00,"0,0329"
2013-01-01 12:00:00,"0,0330"
2013-01-01 13:00:00,"0,0327"
2013-01-01 14:00:00,"0,0336"
2013-01-01 15:00:00,"0,0350"
2013-01-01 16:00:00,"0,0399"
2013-01-01 17:00:00,"0,0450"
2013-01-01 18:00:00,"0,0434"
2013-01-01 19:00:00,"0,0434"
2013-01-01 20:00:00,"0,0370"
2013-01-01 21:00:00,"0,0400"
2013-01-01 22:00:00,"0,0330"
2013-01-01 23:00:00,"0,0340"
2013-01-02 0:00:00,"0,0339"
2013-01-02 1:00:00,"0,0324"
2013-01-02 2:00:00,"0,0321"
2013-01-02 3:00:00,"0,0330"
2013-01-02 4:00:00,"0,0301"
2013-01-02 5:00:00,"0,0342"
2013-01-02 6:00:00,"0,0614"
2013-01-02 7:00:00,"0,0575"
2013-01-02 8:00:00,"0,0601"
2013-01-02 9:00:00,"0,0661"
2013-01-02 10:00:00,"0,0661"
2013-01-02 11:00:00,"0,0661"
2013-01-02 12:00:00,"0,0672"
2013-01-02 13:00:00,"0,0650"
2013-01-02 14:00:00,"0,0499"
2013-01-02 15:00:00,"0,0496"
2013-01-02 16:00:00,"0,0750"
2013-01-02 17:00:00,"0,0599"
2013-01-02 18:00:00,"0,0571"
2013-01-02 19:00:00,"0,0516"
2013-01-02 20:00:00,"0,0474"
2013-01-02 21:00:00,"0,0525"
2013-01-02 22:00:00,"0,0437"
2013-01-02 23:00:00,"0,0383"
2013-01-03 0:00:00,"0,0344"
2013-01-03 1:00:00,"0,0332"
2013-01-03 2:00:00,"0,0334"
2013-01-03 3:00:00,"0,0327"
2013-01-03 4:00:00,"0,0343"
2013-01-03 5:00:00,"0,0344"
2013-01-03 6:00:00,"0,0426"
2013-01-03 7:00:00,"0,0560"
2013-01-03 8:00:00,"0,0560"
2013-01-03 9:00:00,"0,0550"
2013-01-03 10:00:00,"0,0567"
2013-01-03 11:00:00,"0,0591"
2013-01-03 12:00:00,"0,0614"
2013-01-03 13:00:00,"0,0614"
2013-01-03 14:00:00,"0,0599"
2013-01-03 15:00:00,"0,0544"
2013-01-03 16:00:00,"0,0844"
2013-01-03 17:00:00,"0,0850"
2013-01-03 18:00:00,"0,0768"
2013-01-03 19:00:00,"0,0560"
2013-01-03 20:00:00,"0,0560"
2013-01-03 21:00:00,"0,0500"
2013-01-03 22:00:00,"0,0532"
2013-01-03 23:00:00,"0,0550"
2013-01-04 0:00:00,"0,0499"
2013-01-04 1:00:00,"0,0414"
2013-01-04 2:00:00,"0,0352"
2013-01-04 3:00:00,"0,0348"
2013-01-04 4:00:00,"0,0331"
2013-01-04 5:00:00,"0,0352"
2013-01-04 6:00:00,"0,0500"
2013-01-04 7:00:00,"0,0534"
2013-01-04 8:00:00,"0,0558"
2013-01-04 9:00:00,"0,0593"
2013-01-04 10:00:00,"0,0629"
2013-01-04 11:00:00,"0,0617"
2013-01-04 12:00:00,"0,0600"
2013-01-04 13:00:00,"0,0560"
2013-01-04 14:00:00,"0,0500"
2013-01-04 15:00:00,"0,0500"
2013-01-04 16:00:00,"0,0740"
2013-01-04 17:00:00,"0,0569"
2013-01-04 18:00:00,"0,0545"
2013-01-04 19:00:00,"0,0493"
2013-01-04 20:00:00,"0,0530"
2013-01-04 21:00:00,"0,0499"
2013-01-04 22:00:00,"0,0510"
2013-01-04 23:00:00,"0,0486"
2013-01-05 0:00:00,"0,0412"
2013-01-05 1:00:00,"0,0325"
2013-01-05 2:00:00,"0,0324"
2013-01-05 3:00:00,"0,0379"
2013-01-05 4:00:00,"0,0379"
2013-01-05 5:00:00,"0,0399"
2013-01-05 6:00:00,"0,0357"
2013-01-05 7:00:00,"0,0450"
2013-01-05 8:00:00,"0,0590"
2013-01-05 9:00:00,"0,0629"
2013-01-05 10:00:00,"0,0667"
2013-01-05 11:00:00,"0,0680"
2013-01-05 12:00:00,"0,0615"
2013-01-05 13:00:00,"0,0590"
2013-01-05 14:00:00,"0,0569"
2013-01-05 15:00:00,"0,0513"
2013-01-05 16:00:00,"0,0712"
2013-01-05 17:00:00,"0,0841"
2013-01-05 18:00:00,"0,0555"
2013-01-05 19:00:00,"0,0557"
2013-01-05 20:00:00,"0,0524"
2013-01-05 21:00:00,"0,0474"
2013-01-05 22:00:00,"0,0450"
2013-01-05 23:00:00,"0,0450"
2013-01-06 0:00:00,"0,0331"
2013-01-06 1:00:00,"0,0322"
2013-01-06 2:00:00,"0,0324"
2013-01-06 3:00:00,"0,0325"
2013-01-06 4:00:00,"0,0328"
2013-01-06 5:00:00,"0,0343"
2013-01-06 6:00:00,"0,0307"
2013-01-06 7:00:00,"0,0336"
2013-01-06 8:00:00,"0,0360"
2013-01-06 9:00:00,"0,0474"
2013-01-06 10:00:00,"0,0561"
2013-01-06 11:00:00,"0,0726"
2013-01-06 12:00:00,"0,0701"
2013-01-06 13:00:00,"0,0591"
2013-01-06 14:00:00,"0,0488"
2013-01-06 15:00:00,"0,0462"
2013-01-06 16:00:00,"0,0780"
2013-01-06 17:00:00,"0,0850"
2013-01-06 18:00:00,"0,0602"
2013-01-06 19:00:00,"0,0591"
2013-01-06 20:00:00,"0,0500"
2013-01-06 21:00:00,"0,0488"
2013-01-06 22:00:00,"0,0440"
2013-01-06 23:00:00,"0,0426"
2013-01-07 0:00:00,"0,0340"
2013-01-07 1:00:00,"0,0331"
2013-01-07 2:00:00,"0,0332"
2013-01-07 3:00:00,"0,0342"
2013-01-07 4:00:00,"0,0359"
2013-01-07 5:00:00,"0,0465"
2013-01-07 6:00:00,"0,0620"
